product_id,order_count,product_name,aisle_id,department_id,cart_order,Water,Energy,Protein,Total lipid (fat),"Carbohydrate, by difference"
24852,79731,Banana,24,4,4.21,78.3,357.0,0.73,0.22,20.1
13176,78146,Bag of Organic Bananas,24,4,4.19,78.3,357.0,0.73,0.22,20.1
21137,41181,Organic Strawberries,24,4,5.63,90.8,,0.641,0.22,7.96
21903,37343,Organic Baby Spinach,123,4,5.38,92.5,,2.85,0.619,2.41
47209,35093,Organic Hass Avocado,24,4,5.52,,,,,
27845,24926,Organic Whole Milk,84,16,4.44,72.9,157.0,7.81,11.0,6.86
16797,23101,Strawberries,24,4,4.82,90.8,,0.641,0.22,7.96
27966,22911,Organic Raspberries,123,4,5.69,85.6,,1.01,0.188,12.9
47766,22590,Organic Avocado,24,4,5.14,,,,,
47626,17855,Large Lemon,24,4,5.95,86.3,55.0,10.7,0.0,2.36
49235,16413,Organic Half & Half,53,16,4.51,,,,,
26209,15301,Limes,24,4,6.0,,,,,
28204,15236,Organic Fuji Apple,24,4,5.25,83.6,,0.148,0.162,15.7
8277,14431,Apple Honeycrisp Organic,24,4,5.34,85.0,,0.102,0.1,14.7
39275,14228,Organic Blueberries,123,4,5.11,84.2,,0.703,0.306,14.6
19660,14181,Spring Water,115,7,3.17,79.0,376.0,19.0,0.94,0.08
196,14075,Soda,77,7,2.58,,,,,
44632,13697,Sparkling Water Grapefruit,115,7,4.77,90.9,37.0,0.55,0.7,7.59
19057,13539,Organic Large Extra Fancy Fuji Apple,24,4,5.78,83.6,,0.148,0.162,15.7
45007,13250,Organic Zucchini,83,4,6.57,,,,,
22935,13187,Organic Yellow Onion,83,4,6.17,90.1,160.0,0.83,0.05,8.61
43352,12909,Raspberries,32,4,3.77,85.6,,1.01,0.188,12.9
12341,12891,Hass Avocados,32,4,3.54,,,,,
4920,12720,Seedless Red Grapes,123,4,5.9,78.2,,0.914,0.164,20.2
37646,12530,Organic Gala Apples,24,4,5.62,84.6,,0.133,0.15,14.8
6184,12446,Clementines,32,4,3.26,,,,,
27086,12419,Half & Half,53,16,4.85,,,,,
45066,12094,Honeycrisp Apple,24,4,5.42,85.0,,0.102,0.1,14.7
49683,12055,Cucumber Kirby,83,4,5.67,95.9,,0.625,0.178,2.95
42265,11810,Organic Baby Carrots,123,4,6.32,89.3,,0.805,0.138,9.08
24964,11289,Organic Garlic,83,4,6.12,63.1,597.0,6.62,0.38,28.2
5876,11206,Organic Lemon,24,4,6.07,,,,,
30391,10547,Organic Cucumber,83,4,6.42,95.9,,0.625,0.178,2.95
30489,10228,Original Hummus,67,20,6.33,58.7,229.0,7.35,17.1,14.9
22035,9986,Organic Whole String Cheese,21,16,6.6,72.9,157.0,7.81,11.0,6.86
35951,9908,Organic Unsweetened Almond Milk,91,16,5.1,96.5,,0.656,1.56,0.671
39877,9615,Organic Granny Smith Apple,24,4,5.53,85.1,,0.266,0.138,14.1
40706,9198,Organic Grape Tomatoes,123,4,6.91,92.5,113.0,0.83,0.63,5.51
5785,9178,Organic Reduced Fat 2% Milk,84,16,4.72,89.1,50.0,3.36,1.9,4.9
5077,8900,100% Whole Wheat Bread,112,3,5.71,38.7,1060.0,12.3,3.55,43.1
21616,8730,Organic Baby Arugula,123,4,6.0,92.5,,2.85,0.619,2.41
41950,8582,Organic Tomato Cluster,83,4,6.26,94.7,,0.696,0.425,3.84
26604,8455,Organic Blackberries,24,4,5.76,,,,,
28985,8252,Michigan Organic Kale,83,4,5.59,89.6,35.0,2.92,1.49,4.42
35221,8220,Lime Sparkling Water,115,7,5.03,79.0,376.0,19.0,0.94,0.08
24838,8135,Unsweetened Almondmilk,91,16,5.0,96.5,,0.656,1.56,0.671
17794,8125,Carrots,83,4,6.03,89.3,,0.805,0.138,9.08
27104,8107,Fresh Cauliflower,83,4,6.54,,,,,
33198,8023,Sparkling Natural Mineral Water,115,7,4.14,79.0,376.0,19.0,0.94,0.08
44359,7942,Organic Small Bunch Celery,83,4,6.51,95.2,,0.492,0.162,3.32
46979,7686,Asparagus,83,4,6.2,,,,,
39928,7528,Organic Kiwi,24,4,6.51,,,,,
3957,7420,100% Raw Coconut Water,31,7,4.71,84.2,,0.703,0.306,14.6
22825,7298,Organic D'Anjou Pears,24,4,6.51,84.1,57.0,0.38,0.16,15.1
38689,7226,Organic Reduced Fat Milk,84,16,4.25,89.1,50.0,3.36,1.9,4.9
9076,6869,Blueberries,116,1,5.39,84.2,,0.703,0.306,14.6
4210,6616,Whole Milk,84,16,3.78,72.9,157.0,7.81,11.0,6.86
9387,6574,Granny Smith Apples,24,4,5.08,85.1,,0.266,0.138,14.1
31717,6508,Organic Cilantro,16,4,6.27,,,,,
43122,6468,Organic Bartlett Pear,24,4,6.86,84.1,57.0,0.38,0.16,15.1
48679,6373,Organic Garnet Sweet Potato (Yam),83,4,6.87,79.5,,1.58,0.375,17.3
43961,6286,Organic Peeled Whole Baby Carrots,123,4,6.83,89.3,,0.805,0.138,9.08
11520,6271,Large Alfresco Eggs,86,16,4.66,86.3,55.0,10.7,0.0,2.36
8518,6266,Organic Red Onion,83,4,6.82,88.6,186.0,0.94,0.1,9.93
10749,6253,Organic Red Bell Pepper,83,4,6.74,91.9,,0.896,0.126,6.65
34969,6144,Red Vine Tomato,83,4,5.88,94.6,76.0,0.84,0.5,3.32
38928,6047,0% Greek Strained Yogurt,120,16,2.98,85.0,61.0,10.3,0.37,3.64
34126,5980,Organic Italian Parsley Bunch,16,4,6.02,50.9,1350.0,18.2,26.2,2.15
23909,5979,2% Reduced Fat Milk,84,16,4.07,89.1,50.0,3.36,1.9,4.9
14947,5975,Pure Sparkling Water,115,7,4.66,79.0,376.0,19.0,0.94,0.08
21709,5969,Sparkling Lemon Water,115,7,5.29,79.0,376.0,19.0,0.94,0.08
37687,5925,Organic Spring Mix,123,4,4.82,,,,,
18465,5925,Organic Grade A Free Range Large Brown Eggs,86,16,5.5,86.3,55.0,10.7,0.0,2.36
8174,5924,Organic Navel Orange,24,4,6.18,86.7,196.0,0.91,0.15,11.8
46906,5854,Grape White/Green Seedless,24,4,6.13,,,,,
41787,5826,Bartlett Pears,24,4,5.68,84.1,57.0,0.38,0.16,15.1
47144,5779,Unsweetened Original Almond Breeze Almond Milk,91,16,4.58,96.5,,0.656,1.56,0.671
24184,5778,Red Peppers,83,4,6.27,91.9,,0.896,0.126,6.65
21938,5764,Green Bell Pepper,83,4,6.65,94.1,,0.715,0.106,4.78
25890,5708,Boneless Skinless Chicken Breasts,49,12,5.09,74.8,,22.5,1.93,-0.368
19348,5700,Fat Free Milk,84,16,4.24,90.8,144.0,3.43,0.08,4.92
30233,5668,Organic Large Brown Grade AA Cage Free Eggs,86,16,5.25,86.3,55.0,10.7,0.0,2.36
5479,5666,Italian Sparkling Mineral Water,115,7,4.39,50.9,1350.0,18.2,26.2,2.15
46667,5652,Organic Ginger Root,83,4,5.84,,,,,
13575,5592,Apples,24,4,3.15,83.6,,0.148,0.162,15.7
5450,5571,Small Hass Avocado,24,4,5.95,0.0,,23.5,1.28,
9839,5482,Organic Broccoli,83,4,6.13,90.0,31.0,2.57,0.34,6.27
37710,5431,Trail Mix,125,19,3.42,,,,,
33000,5414,Pure Irish Butter,36,16,4.58,1.75,,20.8,53.0,21.2
1463,5406,Organic Milk,84,16,4.58,72.9,157.0,7.81,11.0,6.86
36011,5337,Organic Fat Free Milk,84,16,4.5,90.8,144.0,3.43,0.08,4.92
27344,5329,Uncured Genoa Salami,96,20,6.62,,,,,
28199,5304,"Clementines, Bag",123,4,6.05,,,,,
32478,5291,Reduced Fat 2% Milk,84,16,2.96,89.1,50.0,3.36,1.9,4.9
7781,5237,Organic Sticks Low Moisture Part Skim Mozzarella String Cheese,21,16,6.45,47.7,298.0,23.7,20.4,4.44
43154,5220,Sparkling Mineral Water,115,7,2.76,79.0,376.0,19.0,0.94,0.08
432,5178,Vanilla Almond Breeze Almond Milk,91,16,4.49,96.5,,0.656,1.56,0.671
33754,5170,Total 2% with Strawberry Lowfat Greek Strained Yogurt,120,16,6.03,79.0,347.0,8.06,0.15,12.2
27521,5081,Organic Lacinato (Dinosaur) Kale,83,4,6.0,89.6,35.0,2.92,1.49,4.42
8571,4952,Baby Cucumbers,32,4,3.04,95.9,,0.625,0.178,2.95
33731,4895,Grated Parmesan,21,16,6.75,22.8,1760.0,29.6,28.0,12.4
31506,4844,Extra Virgin Olive Oil,19,13,5.89,,,,,
20995,4719,Organic Broccoli Florets,116,1,5.94,90.0,31.0,2.57,0.34,6.27
21288,4660,Blackberries,24,4,4.2,,,,,
8859,4656,Natural Spring Water,115,7,3.27,79.0,376.0,19.0,0.94,0.08
8424,4619,Broccoli Crown,83,4,6.37,90.0,31.0,2.57,0.34,6.27
4605,4580,Yellow Onions,83,4,5.98,90.1,160.0,0.83,0.05,8.61
42828,4517,Whipped Cream Cheese,108,16,6.85,54.7,,5.79,33.5,4.56
8048,4468,Packaged Grape Tomatoes,32,4,3.28,92.5,113.0,0.83,0.63,5.51
29447,4431,"Milk, Organic, Vitamin D",84,16,4.29,89.7,43.0,3.38,0.95,5.18
39408,4427,Gala Apples,24,4,5.1,84.6,,0.133,0.15,14.8
31651,4411,Extra Fancy Unsalted Mixed Nuts,117,19,2.87,17.4,,,81.5,
46676,4403,Total 0% Nonfat Greek Yogurt,120,16,5.39,85.0,61.0,10.3,0.37,3.64
5212,4401,Watermelon Chunks,123,4,5.36,,,,,
32655,4326,Organic Large Grade AA Brown Eggs,86,16,5.05,86.3,55.0,10.7,0.0,2.36
20842,4282,Total 0% Greek Yogurt,120,16,5.02,85.0,61.0,10.3,0.37,3.64
1940,4262,Organic 2% Reduced Fat Milk,84,16,4.52,89.1,50.0,3.36,1.9,4.9
4799,4236,Shredded Parmesan,21,16,6.67,22.8,1760.0,29.6,28.0,12.4
29487,4218,Roma Tomato,83,4,5.6,94.7,,0.696,0.425,3.84
46149,4140,Zero Calorie Cola,77,7,2.72,,,,,
34243,4056,Organic Baby Broccoli,83,4,6.28,92.5,,2.85,0.619,2.41
15290,4052,Orange Bell Pepper,83,4,6.8,91.9,,0.882,0.156,6.7
39475,4040,Total Greek Strained Yogurt,120,16,5.56,85.0,61.0,10.3,0.37,3.64
43295,3997,Unsweetened Vanilla Almond Milk,91,16,4.84,96.5,,0.656,1.56,0.671
30827,3979,Seedless Cucumbers,32,4,3.43,79.9,,0.899,0.232,18.6
26165,3969,Electrolyte Enhanced Water,115,7,3.96,79.0,376.0,19.0,0.94,0.08
24489,3944,Organic Whole Strawberries,116,1,6.55,90.8,,0.641,0.22,7.96
8021,3841,100% Recycled Paper Towels,54,17,6.24,,,,,
27156,3815,Organic Black Beans,59,15,6.86,0.0,,24.4,1.45,
41220,3746,Organic Romaine Lettuce,83,4,5.98,94.7,70.0,1.24,0.26,3.24
17948,3734,Frozen Organic Wild Blueberries,116,1,6.41,84.2,,0.703,0.306,14.6
22963,3731,Organic Roasted Turkey Breast,96,20,6.97,74.8,,22.5,1.93,-0.368
32689,3725,Romaine Hearts,123,4,4.86,94.7,70.0,1.24,0.26,3.24
26369,3704,Organic Roma Tomato,83,4,5.85,94.7,,0.696,0.425,3.84
19678,3699,Organic Russet Potato,83,4,6.07,78.6,,2.27,0.36,17.8
18523,3671,Total 2% All Natural Greek Strained Yogurt with Honey,120,16,6.05,85.0,61.0,10.3,0.37,3.64
26620,3666,Peach Pear Flavored Sparkling Water,115,7,5.41,84.1,57.0,0.38,0.16,15.1
5258,3654,Sparkling Water,115,7,2.71,79.0,376.0,19.0,0.94,0.08
30450,3647,Creamy Almond Butter,88,13,4.87,1.75,,20.8,53.0,21.2
4957,3635,Total 2% Lowfat Greek Strained Yogurt With Blueberry,120,16,6.37,81.1,352.0,11.0,2.3,4.31
42736,3634,Unsalted Butter,36,16,5.53,17.4,,,81.5,
20114,3633,Jalapeno Peppers,83,4,5.89,94.1,,0.715,0.106,4.78
16759,3568,Organic Carrot Bunch,83,4,6.6,89.3,,0.805,0.138,9.08
28842,3527,Bunched Cilantro,16,4,5.71,,,,,
30776,3513,Organic Raw Kombucha Gingerade,31,7,4.92,84.2,,0.703,0.306,14.6
41400,3470,Crunchy Oats 'n Honey Granola Bars,3,19,3.85,8.86,,13.2,6.31,69.9
11777,3456,Red Raspberries,123,4,6.01,85.6,,1.01,0.188,12.9
18362,3418,Organic Bread with 21 Whole Grains,112,3,6.44,13.0,,11.1,3.04,71.1
38777,3397,Organic Green Seedless Grapes,123,4,6.58,79.9,,0.899,0.232,18.6
21386,3356,Smartwater,115,7,2.66,,,,,
25146,3347,Original Orange Juice,31,7,5.27,88.2,,0.734,0.325,10.3
33787,3346,Total 2% Lowfat Greek Strained Yogurt with Peach,120,16,6.39,81.1,352.0,11.0,2.3,4.31
14233,3314,Natural Artesian Water,115,7,3.26,79.0,376.0,19.0,0.94,0.08
44142,3299,Red Onion,83,4,5.7,88.6,186.0,0.94,0.1,9.93
20119,3295,Sparkling Water Berry,115,7,5.64,79.0,376.0,19.0,0.94,0.08
36695,3280,Organic Hothouse Cucumbers,83,4,6.49,95.9,,0.625,0.178,2.95
23288,3264,Distilled Water,115,7,3.86,79.0,376.0,19.0,0.94,0.08
20940,3228,Organic Low Fat Milk,84,16,2.42,89.8,,3.46,1.08,4.81
33768,3226,Sinfully Sweet Campari Tomatoes,83,4,4.26,94.7,,0.696,0.425,3.84
33120,3214,Organic Egg Whites,86,16,5.1,86.3,55.0,10.7,0.0,2.36
42585,3184,Organic Extra Firm Tofu,14,20,6.25,,,,,
17122,3182,Honeycrisp Apples,24,4,3.92,85.0,,0.102,0.1,14.7
3298,3145,Mozzarella String Cheese,21,16,3.77,47.7,298.0,23.7,20.4,4.44
38293,3133,Ground Turkey Breast,35,12,6.22,72.9,,17.3,9.59,0.0
45603,3132,Trilogy Kombucha Drink,31,7,5.07,,,,,
35561,3126,Organic Tortilla Chips,107,19,4.41,,,,,
40199,3125,Chocolate Chip Cookies,61,19,4.04,8.85,1800.0,5.79,14.3,69.6
38768,3125,Sweet Kale Salad Mix,32,4,2.79,89.6,35.0,2.92,1.49,4.42
31343,3094,Shredded Mild Cheddar Cheese,21,16,6.64,36.6,1710.0,23.3,34.0,2.44
28465,3093,Icelandic Style Skyr Blueberry Non-fat Yogurt,120,16,6.19,84.2,,0.703,0.306,14.6
34358,3073,Garlic,83,4,6.28,63.1,597.0,6.62,0.38,28.2
21292,3054,Rainbow Bell Peppers,32,4,3.39,94.1,,0.715,0.106,4.78
14084,3050,Organic Unsweetened Vanilla Almond Milk,91,16,4.73,96.5,,0.656,1.56,0.671
46969,3043,Organic Bosc Pear,24,4,6.24,84.1,57.0,0.38,0.16,15.1
26348,3042,Mixed Fruit Fruit Snacks,50,19,4.15,88.1,,0.0859,0.286,11.4
46061,2997,Popcorn,23,19,3.1,,,,,
40571,2989,Total 2% Greek Strained Yogurt with Cherry 5.3 oz,120,16,6.54,85.0,61.0,10.3,0.37,3.64
16185,2951,Sharp Cheddar Cheese,21,16,6.16,36.6,1710.0,23.3,34.0,2.44
40604,2936,Feta Cheese Crumbles,21,16,6.74,51.9,,19.7,19.1,5.58
329,2928,Organic Whole Grassmilk Milk,84,16,4.12,72.9,157.0,7.81,11.0,6.86
39180,2904,Organic Lowfat 1% Milk,84,16,4.3,89.7,43.0,3.38,0.95,5.18
18531,2884,Organic Heavy Whipping Cream,53,16,4.99,58.1,,2.02,35.6,3.8
11759,2883,Organic Simply Naked Pita Chips,107,19,4.01,,,,,
13870,2881,Lightly Salted Baked Snap Pea Crisps,107,19,7.04,89.7,,1.97,0.275,7.41
41844,2843,Honey Nut Cheerios,121,14,7.16,4.81,,17.4,38.9,36.3
2078,2838,Unsalted Pure Irish Butter,36,16,5.01,17.4,,,81.5,
19677,2832,Original Pure Creamy Almond Milk,91,16,4.9,1.75,,20.8,53.0,21.2
21405,2818,"Organic Red Radish, Bunch",83,4,6.24,91.1,,1.24,0.214,6.79
24830,2808,Organic Romaine,123,4,6.38,94.7,70.0,1.24,0.26,3.24
19691,2808,Green Seedless Grapes,32,4,4.18,79.9,,0.899,0.232,18.6
46802,2797,Pineapple Chunks,116,1,5.55,85.0,,0.461,0.211,14.1
8193,2793,Russet Potato,83,4,5.76,78.6,,2.27,0.36,17.8
260,2783,Cantaloupe,24,4,7.11,90.2,141.0,0.82,0.18,8.16
13166,2772,"Organic Milk Reduced Fat, 2% Milkfat",84,16,4.64,89.1,50.0,3.36,1.9,4.9
14992,2771,Green Beans,83,4,6.41,89.7,,1.97,0.275,7.41
40174,2743,2% Reduced Fat Organic Milk,84,16,4.57,89.1,50.0,3.36,1.9,4.9
6046,2741,Boneless Skinless Chicken Breast,35,12,5.87,74.8,,22.5,1.93,-0.368
10132,2732,Organic American Cheese Singles,21,16,6.32,44.8,,15.6,23.9,8.19
10957,2718,Fridge Pack Cola,77,7,4.25,93.6,86.0,1.04,0.39,4.11
32403,2708,Fat Free Skim Milk,84,16,3.06,90.8,144.0,3.43,0.08,4.92
11182,2695,Baby Spinach,123,4,5.82,92.5,,2.85,0.619,2.41
36865,2685,Non Fat Raspberry Yogurt,120,16,6.37,85.6,,1.01,0.188,12.9
16953,2682,Creamy Peanut Butter,88,13,5.65,1.1,,24.0,49.4,22.7
42244,2682,Total 2% All Natural Low Fat 2% Milkfat Greek Strained Yogurt,120,16,5.82,81.1,352.0,11.0,2.3,4.31
42768,2647,Organic Garbanzo Beans,59,15,6.5,8.77,,21.3,6.27,60.4
30169,2639,Total 2% All Natural Plain Greek Yogurt,120,16,5.36,85.0,61.0,10.3,0.37,3.64
17600,2628,"YoKids Squeezers Organic Low-Fat Yogurt, Strawberry",120,16,6.75,89.8,,3.46,1.08,4.81
34050,2608,Orange Juice,31,7,5.14,88.2,,0.734,0.325,10.3
24799,2605,Vanilla Skyr Nonfat Yogurt,120,16,6.19,86.6,,4.23,0.0875,8.08
25466,2594,Water,115,7,3.67,79.0,376.0,19.0,0.94,0.08
40396,2593,Guacamole,67,20,5.5,,,,,
13249,2584,Skim Milk,84,16,4.65,90.8,144.0,3.43,0.08,4.92
44683,2576,Brussels Sprouts,83,4,5.54,,,,,
43768,2566,Organic Bell Pepper,83,4,7.26,94.1,,0.715,0.106,4.78
25931,2529,Organic Baby Spinach Salad,123,4,5.14,92.5,,2.85,0.619,2.41
42450,2514,Macaroni & Cheese,38,1,5.79,36.6,1710.0,23.3,34.0,2.44
22802,2514,Mineral Water,115,7,2.34,79.0,376.0,19.0,0.94,0.08
28849,2513,No Salt Added Black Beans,59,15,6.92,70.8,,6.91,1.27,19.8
7948,2489,Organic Unsalted Butter,36,16,5.61,17.4,,,81.5,
1194,2476,Natural Artisan Water,115,7,3.87,79.0,376.0,19.0,0.94,0.08
6104,2474,Whole Milk Plain Yogurt,120,16,5.17,85.3,,3.82,4.48,5.57
2086,2469,Sustainably Soft Bath Tissue,54,17,5.95,8.85,1800.0,5.79,14.3,69.6
14715,2464,Coconut Water,98,7,2.99,4.69,,16.1,15.3,58.9
38383,2458,Organic White Onions,83,4,6.35,91.3,148.0,0.89,0.13,7.68
42701,2457,Organic Sour Cream,108,16,6.0,72.6,,3.07,18.0,5.56
43772,2455,Cherubs Heavenly Salad Tomatoes,83,4,6.09,94.7,,0.696,0.425,3.84
23375,2447,Marinara Sauce,9,9,6.63,87.4,186.0,1.41,1.48,8.05
13629,2439,Organic Snipped Green Beans,83,4,6.8,89.7,,1.97,0.275,7.41
10473,2434,Half And Half Cream,53,16,3.06,58.1,,2.02,35.6,3.8
41290,2432,Lemonade,31,7,5.66,,,,,
31915,2413,Organic Red Delicious Apple,24,4,5.71,84.7,,0.188,0.212,14.8
20082,2403,Organic Whole Milk with DHA Omega-3,84,16,4.72,72.9,157.0,7.81,11.0,6.86
44910,2403,Organic Spring Mix Salad,123,4,5.8,,,,,
21573,2400,Roasted Pine Nut Hummus,67,20,4.16,1.92,,15.7,61.3,18.6
31683,2398,Original No Pulp 100% Florida Orange Juice,31,7,5.34,88.2,,0.734,0.325,10.3
2855,2390,Organic Good Seed Bread,112,3,4.89,6.62,,29.9,40.0,18.7
47672,2385,Uncured Hickory Smoked Sunday Bacon,106,12,6.27,14.2,2090.0,40.9,36.5,2.1
5161,2380,Dried Mango,18,10,4.49,7.98,376.0,79.9,0.65,6.02
26790,2370,Organic AppleApple,99,15,7.61,,,,,
24024,2362,1% Lowfat Milk,84,16,4.74,89.7,43.0,3.38,0.95,5.18
14678,2355,Organic Frozen Peas,116,1,6.74,11.0,,21.2,2.42,61.8
11422,2354,Plain Greek Yogurt,120,16,5.26,85.0,61.0,10.3,0.37,3.64
43713,2352,Organic Creamy Peanut Butter,88,13,7.08,1.1,,24.0,49.4,22.7
31759,2352,Cherrios Honey Nut,121,14,4.47,4.81,,17.4,38.9,36.3
40310,2348,Oven Roasted Turkey Breast,96,20,6.14,74.8,,22.5,1.93,-0.368
47977,2344,Grapefruit Sparkling Water,115,7,4.27,90.9,37.0,0.55,0.7,7.59
3952,2344,Organic Broccoli Crowns,83,4,6.23,90.0,31.0,2.57,0.34,6.27
17461,2342,Air Chilled Organic Boneless Skinless Chicken Breasts,35,12,6.0,74.8,,22.5,1.93,-0.368
38159,2328,Organic Yellow Peaches,24,4,6.72,88.3,174.0,0.91,0.27,10.1
12427,2324,Original Beef Jerky,23,19,3.44,54.6,1310.0,11.7,28.0,2.89
2966,2319,Pure Coconut Water,98,7,5.7,4.69,,16.1,15.3,58.9
1511,2286,2% Reduced Fat DHA Omega-3 Reduced Fat Milk,84,16,4.67,89.1,50.0,3.36,1.9,4.9
42445,2279,Organic Plain Whole Milk Yogurt,120,16,5.56,85.3,,3.82,4.48,5.57
